"","taskId","img0Id","img1ID","img0Name","img1Name","user","winner"
"117",116,222,240,"81_ohsu-0063-2-OD-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",-1
"118",117,234,243,"93_ohsu-0072-2-OD-posterior.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
"119",118,237,245,"9_miam-0014-3-os.BMP","45_ohsu-0001-6-os-posterior2.bmp","jason",-1
"120",119,228,231,"65_ohsu-0060-3-OS-posterior.bmp","69_ohsu-0063-3-OS-posterior.bmp","jason",1
"121",120,233,242,"1_24-second-OS-temporal.bmp","29_miam-0018-5-od.BMP","jason",1
"122",121,233,242,"1_24-second-OS-temporal.bmp","29_miam-0018-5-od.BMP","jason",1
"123",122,239,242,"13_4_Full.JPG","29_miam-0018-5-od.BMP","jason",-1
"124",123,223,240,"25_corn-0018-3-od-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",-1
"125",124,232,241,"53_ohsu-0041-am-1st-OD-posterior.bmp","61_miam--0027-2-od.BMP","jason",-1
"126",125,222,240,"81_ohsu-0063-2-OD-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",-1
"127",126,238,235,"73_ohsu-0031-cc-3rd-OS-posterior.bmp","37_miam-0018-4-os.BMP","jason",-1
"128",127,238,235,"73_ohsu-0031-cc-3rd-OS-posterior.bmp","37_miam-0018-4-os.BMP","jason",-1
"129",128,227,243,"89_ohsu-0029-ps-2nd-OD-posterior.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
"130",129,245,237,"45_ohsu-0001-6-os-posterior2.bmp","9_miam-0014-3-os.BMP","jason",1
"131",130,236,243,"17_ohsu-0049-nv-14-OS-posterior2.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
"132",131,229,237,"41_beau-0061-4-OS-posterior.bmp","9_miam-0014-3-os.BMP","jason",-1
"133",132,229,237,"41_beau-0061-4-OS-posterior.bmp","9_miam-0014-3-os.BMP","jason",1
"134",133,233,242,"1_24-second-OS-temporal.bmp","29_miam-0018-5-od.BMP","jason",1
"135",134,224,237,"33_ohsu-001-gb-6th-session-OD-posterior1.bmp","9_miam-0014-3-os.BMP","jason",1
"136",135,241,228,"61_miam--0027-2-od.BMP","65_ohsu-0060-3-OS-posterior.bmp","jason",1
"137",136,224,237,"33_ohsu-001-gb-6th-session-OD-posterior1.bmp","9_miam-0014-3-os.BMP","jason",1
"138",137,226,242,"85_ohsu-0011-mb-2nd-OS-posterior.bmp","29_miam-0018-5-od.BMP","jason",1
"139",138,231,233,"69_ohsu-0063-3-OS-posterior.bmp","1_24-second-OS-temporal.bmp","jason",-1
"140",139,225,243,"57_ohsu-0021-cl-2nd-OD-posterior.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
"141",140,237,245,"9_miam-0014-3-os.BMP","45_ohsu-0001-6-os-posterior2.bmp","jason",1
"142",141,237,245,"9_miam-0014-3-os.BMP","45_ohsu-0001-6-os-posterior2.bmp","jason",1
"143",142,225,243,"57_ohsu-0021-cl-2nd-OD-posterior.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",-1
"144",143,224,237,"33_ohsu-001-gb-6th-session-OD-posterior1.bmp","9_miam-0014-3-os.BMP","jason",1
"145",144,231,233,"69_ohsu-0063-3-OS-posterior.bmp","1_24-second-OS-temporal.bmp","jason",-1
"146",145,222,240,"81_ohsu-0063-2-OD-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",-1
"147",146,222,240,"81_ohsu-0063-2-OD-posterior.bmp","5_ohsu-0054-5-os.bmp","jason",-1
"148",147,231,233,"69_ohsu-0063-3-OS-posterior.bmp","1_24-second-OS-temporal.bmp","jason",-1
"149",148,236,243,"17_ohsu-0049-nv-14-OS-posterior2.bmp","97_ohsu-0011-mb-1st-OD-posterior.bmp","jason",1
"150",149,231,233,"69_ohsu-0063-3-OS-posterior.bmp","1_24-second-OS-temporal.bmp","jason",-1
"151",150,221,239,"49_ohsu-0020-gl-5th-OD-posterior.bmp","13_4_Full.JPG","jason",1
"152",151,237,245,"9_miam-0014-3-os.BMP","45_ohsu-0001-6-os-posterior2.bmp","jason",1
"153",152,224,237,"33_ohsu-001-gb-6th-session-OD-posterior1.bmp","9_miam-0014-3-os.BMP","jason",1
"154",153,245,237,"45_ohsu-0001-6-os-posterior2.bmp","9_miam-0014-3-os.BMP","jason",1
"155",154,245,237,"45_ohsu-0001-6-os-posterior2.bmp","9_miam-0014-3-os.BMP","jason",1
"156",155,240,241,"5_ohsu-0054-5-os.bmp","61_miam--0027-2-od.BMP","jason",1
"157",156,224,237,"33_ohsu-001-gb-6th-session-OD-posterior1.bmp","9_miam-0014-3-os.BMP","jason",1
"158",157,233,242,"1_24-second-OS-temporal.bmp","29_miam-0018-5-od.BMP","jason",1
