taskId,img0Id,img1ID,img0Name,img1Name,jason,karyn,kim,nina,tom
119,228,231,65_ohsu-0060-3-OS-posterior.bmp,69_ohsu-0063-3-OS-posterior.bmp,1,1,-1,1,1
120,233,242,1_24-second-OS-temporal.bmp,29_miam-0018-5-od.BMP,1,1,1,1,1
121,233,242,1_24-second-OS-temporal.bmp,29_miam-0018-5-od.BMP,1,1,1,1,1
122,239,242,13_4_Full.JPG,29_miam-0018-5-od.BMP,-1,1,-1,-1,-1
123,223,240,25_corn-0018-3-od-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,-1,-1,-1,-1
124,232,241,53_ohsu-0041-am-1st-OD-posterior.bmp,61_miam--0027-2-od.BMP,-1,-1,-1,-1,-1
125,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,-1,-1,-1,-1
126,238,235,73_ohsu-0031-cc-3rd-OS-posterior.bmp,37_miam-0018-4-os.BMP,-1,-1,-1,-1,-1
127,238,235,73_ohsu-0031-cc-3rd-OS-posterior.bmp,37_miam-0018-4-os.BMP,-1,-1,-1,-1,-1
128,227,243,89_ohsu-0029-ps-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
129,245,237,45_ohsu-0001-6-os-posterior2.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
130,236,243,17_ohsu-0049-nv-14-OS-posterior2.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,1,1,1,1
131,229,237,41_beau-0061-4-OS-posterior.bmp,9_miam-0014-3-os.BMP,-1,-1,-1,-1,-1
132,229,237,41_beau-0061-4-OS-posterior.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
133,233,242,1_24-second-OS-temporal.bmp,29_miam-0018-5-od.BMP,1,1,1,1,1
134,224,237,33_ohsu-001-gb-6th-session-OD-posterior1.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
135,241,228,61_miam--0027-2-od.BMP,65_ohsu-0060-3-OS-posterior.bmp,1,1,-1,1,1
136,224,237,33_ohsu-001-gb-6th-session-OD-posterior1.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
137,226,242,85_ohsu-0011-mb-2nd-OS-posterior.bmp,29_miam-0018-5-od.BMP,1,-1,-1,-1,-1
138,231,233,69_ohsu-0063-3-OS-posterior.bmp,1_24-second-OS-temporal.bmp,-1,1,-1,1,1
139,225,243,57_ohsu-0021-cl-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
140,237,245,9_miam-0014-3-os.BMP,45_ohsu-0001-6-os-posterior2.bmp,1,1,1,1,1
141,237,245,9_miam-0014-3-os.BMP,45_ohsu-0001-6-os-posterior2.bmp,1,1,1,1,1
142,225,243,57_ohsu-0021-cl-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
143,224,237,33_ohsu-001-gb-6th-session-OD-posterior1.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
144,231,233,69_ohsu-0063-3-OS-posterior.bmp,1_24-second-OS-temporal.bmp,-1,-1,-1,-1,-1
145,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,-1,-1,-1,-1
146,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,-1,-1,-1,-1
147,231,233,69_ohsu-0063-3-OS-posterior.bmp,1_24-second-OS-temporal.bmp,-1,-1,-1,-1,-1
148,236,243,17_ohsu-0049-nv-14-OS-posterior2.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,1,1,1,1,1
149,231,233,69_ohsu-0063-3-OS-posterior.bmp,1_24-second-OS-temporal.bmp,-1,-1,-1,-1,-1
150,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,1,1,-1,1,1
151,237,245,9_miam-0014-3-os.BMP,45_ohsu-0001-6-os-posterior2.bmp,1,1,1,1,1
152,224,237,33_ohsu-001-gb-6th-session-OD-posterior1.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
153,245,237,45_ohsu-0001-6-os-posterior2.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
154,245,237,45_ohsu-0001-6-os-posterior2.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
155,240,241,5_ohsu-0054-5-os.bmp,61_miam--0027-2-od.BMP,1,1,1,1,1
156,224,237,33_ohsu-001-gb-6th-session-OD-posterior1.bmp,9_miam-0014-3-os.BMP,1,1,-1,-1,1
157,233,242,1_24-second-OS-temporal.bmp,29_miam-0018-5-od.BMP,1,1,1,1,1
158,236,243,17_ohsu-0049-nv-14-OS-posterior2.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,1,1,1,1,1
159,230,232,77_ohsu-0030-ks-3rd-OS-posterior.bmp,53_ohsu-0041-am-1st-OD-posterior.bmp,-1,-1,-1,-1,-1
160,233,242,1_24-second-OS-temporal.bmp,29_miam-0018-5-od.BMP,1,-1,1,1,1
161,225,243,57_ohsu-0021-cl-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,1,1,1,1,1
162,228,231,65_ohsu-0060-3-OS-posterior.bmp,69_ohsu-0063-3-OS-posterior.bmp,-1,-1,1,-1,-1
163,225,243,57_ohsu-0021-cl-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,1,1,1,1,1
164,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,1,-1,1,1
165,223,240,25_corn-0018-3-od-posterior.bmp,5_ohsu-0054-5-os.bmp,1,1,1,1,1
166,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,1,1,1,1,1
167,228,231,65_ohsu-0060-3-OS-posterior.bmp,69_ohsu-0063-3-OS-posterior.bmp,-1,-1,-1,-1,-1
168,235,244,37_miam-0018-4-os.BMP,21_ohsu-0124-6-OS-posterior.bmp,-1,-1,-1,-1,-1
169,239,242,13_4_Full.JPG,29_miam-0018-5-od.BMP,1,1,1,1,-1
170,222,240,81_ohsu-0063-2-OD-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,-1,-1,-1,-1
171,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,-1,-1,-1,-1,-1
172,225,243,57_ohsu-0021-cl-2nd-OD-posterior.bmp,97_ohsu-0011-mb-1st-OD-posterior.bmp,-1,1,1,1,1
173,230,232,77_ohsu-0030-ks-3rd-OS-posterior.bmp,53_ohsu-0041-am-1st-OD-posterior.bmp,1,1,-1,1,-1
174,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,-1,-1,-1,-1,-1
175,233,242,1_24-second-OS-temporal.bmp,29_miam-0018-5-od.BMP,1,1,1,1,1
176,232,241,53_ohsu-0041-am-1st-OD-posterior.bmp,61_miam--0027-2-od.BMP,-1,-1,-1,-1,-1
177,223,240,25_corn-0018-3-od-posterior.bmp,5_ohsu-0054-5-os.bmp,1,1,1,1,1
178,223,240,25_corn-0018-3-od-posterior.bmp,5_ohsu-0054-5-os.bmp,-1,-1,1,1,-1
179,226,242,85_ohsu-0011-mb-2nd-OS-posterior.bmp,29_miam-0018-5-od.BMP,1,1,-1,-1,1
180,231,233,69_ohsu-0063-3-OS-posterior.bmp,1_24-second-OS-temporal.bmp,1,1,-1,1,1
181,224,237,33_ohsu-001-gb-6th-session-OD-posterior1.bmp,9_miam-0014-3-os.BMP,1,1,1,1,1
182,232,241,53_ohsu-0041-am-1st-OD-posterior.bmp,61_miam--0027-2-od.BMP,-1,-1,-1,-1,-1
183,237,245,9_miam-0014-3-os.BMP,45_ohsu-0001-6-os-posterior2.bmp,1,1,1,1,1
184,232,241,53_ohsu-0041-am-1st-OD-posterior.bmp,61_miam--0027-2-od.BMP,-1,-1,-1,-1,-1
185,221,239,49_ohsu-0020-gl-5th-OD-posterior.bmp,13_4_Full.JPG,-1,-1,-1,-1,-1
186,231,233,69_ohsu-0063-3-OS-posterior.bmp,1_24-second-OS-temporal.bmp,-1,-1,-1,-1,-1
187,226,242,85_ohsu-0011-mb-2nd-OS-posterior.bmp,29_miam-0018-5-od.BMP,1,1,-1,1,1
188,241,228,61_miam--0027-2-od.BMP,65_ohsu-0060-3-OS-posterior.bmp,-1,-1,-1,-1,-1
189,232,241,53_ohsu-0041-am-1st-OD-posterior.bmp,61_miam--0027-2-od.BMP,1,1,1,1,1
