task_id,image0,image1,winner,user,date,icl
1101,171,197,1,karyn,Wed Apr 29 2015 18:51:41 GMT-0400 (EDT),ICL_third_set_hundred_r2
1102,172,178,1,karyn,Wed Apr 29 2015 18:51:43 GMT-0400 (EDT),ICL_third_set_hundred_r2
1103,123,175,1,karyn,Wed Apr 29 2015 18:51:45 GMT-0400 (EDT),ICL_third_set_hundred_r2
1104,172,191,-1,karyn,Wed Apr 29 2015 18:51:48 GMT-0400 (EDT),ICL_third_set_hundred_r2
1105,143,173,1,karyn,Wed Apr 29 2015 18:51:50 GMT-0400 (EDT),ICL_third_set_hundred_r2
1106,183,182,-1,karyn,Wed Apr 29 2015 18:51:53 GMT-0400 (EDT),ICL_third_set_hundred_r2
1107,187,164,1,karyn,Wed Apr 29 2015 18:51:56 GMT-0400 (EDT),ICL_third_set_hundred_r2
1108,167,201,1,karyn,Wed Apr 29 2015 18:51:57 GMT-0400 (EDT),ICL_third_set_hundred_r2
1109,121,133,1,karyn,Wed Apr 29 2015 18:52:02 GMT-0400 (EDT),ICL_third_set_hundred_r2
111,123,160,1,karyn,Wed Apr 29 2015 10:14:43 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1110,127,218,1,karyn,Wed Apr 29 2015 18:52:06 GMT-0400 (EDT),ICL_third_set_hundred_r2
1111,139,207,-1,karyn,Wed Apr 29 2015 18:52:09 GMT-0400 (EDT),ICL_third_set_hundred_r2
1112,186,195,1,karyn,Wed Apr 29 2015 18:52:12 GMT-0400 (EDT),ICL_third_set_hundred_r2
1113,154,197,1,karyn,Wed Apr 29 2015 18:52:25 GMT-0400 (EDT),ICL_third_set_hundred_r2
1114,136,176,1,karyn,Wed Apr 29 2015 18:52:27 GMT-0400 (EDT),ICL_third_set_hundred_r2
1115,131,172,-1,karyn,Wed Apr 29 2015 18:52:29 GMT-0400 (EDT),ICL_third_set_hundred_r2
1116,127,138,1,karyn,Wed Apr 29 2015 18:52:31 GMT-0400 (EDT),ICL_third_set_hundred_r2
1117,122,195,1,karyn,Wed Apr 29 2015 18:52:45 GMT-0400 (EDT),ICL_third_set_hundred_r2
1118,142,194,1,karyn,Wed Apr 29 2015 18:52:47 GMT-0400 (EDT),ICL_third_set_hundred_r2
1119,205,215,-1,karyn,Wed Apr 29 2015 18:52:49 GMT-0400 (EDT),ICL_third_set_hundred_r2
112,213,156,1,karyn,Wed Apr 29 2015 10:14:45 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1120,159,192,1,karyn,Wed Apr 29 2015 18:52:58 GMT-0400 (EDT),ICL_third_set_hundred_r2
1121,165,200,1,karyn,Wed Apr 29 2015 18:53:05 GMT-0400 (EDT),ICL_third_set_hundred_r2
1122,207,131,1,karyn,Wed Apr 29 2015 18:53:07 GMT-0400 (EDT),ICL_third_set_hundred_r2
1123,122,149,-1,karyn,Wed Apr 29 2015 18:53:12 GMT-0400 (EDT),ICL_third_set_hundred_r2
1124,143,168,1,karyn,Wed Apr 29 2015 18:53:19 GMT-0400 (EDT),ICL_third_set_hundred_r2
1125,135,208,-1,karyn,Wed Apr 29 2015 18:53:42 GMT-0400 (EDT),ICL_third_set_hundred_r2
1126,168,208,1,karyn,Wed Apr 29 2015 18:54:04 GMT-0400 (EDT),ICL_third_set_hundred_r2
1127,219,158,-1,karyn,Wed Apr 29 2015 18:54:08 GMT-0400 (EDT),ICL_third_set_hundred_r2
1128,150,144,-1,karyn,Wed Apr 29 2015 18:54:24 GMT-0400 (EDT),ICL_third_set_hundred_r2
1129,137,190,1,karyn,Wed Apr 29 2015 18:54:32 GMT-0400 (EDT),ICL_third_set_hundred_r2
113,140,187,-1,karyn,Wed Apr 29 2015 10:22:38 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1130,134,201,1,karyn,Wed Apr 29 2015 18:54:35 GMT-0400 (EDT),ICL_third_set_hundred_r2
1131,175,198,1,karyn,Wed Apr 29 2015 18:54:37 GMT-0400 (EDT),ICL_third_set_hundred_r2
1132,147,166,1,karyn,Wed Apr 29 2015 18:54:38 GMT-0400 (EDT),ICL_third_set_hundred_r2
1133,197,164,-1,karyn,Wed Apr 29 2015 18:54:40 GMT-0400 (EDT),ICL_third_set_hundred_r2
1134,134,207,-1,karyn,Wed Apr 29 2015 18:54:44 GMT-0400 (EDT),ICL_third_set_hundred_r2
1135,154,174,1,karyn,Wed Apr 29 2015 18:54:46 GMT-0400 (EDT),ICL_third_set_hundred_r2
1136,165,175,1,karyn,Wed Apr 29 2015 18:54:49 GMT-0400 (EDT),ICL_third_set_hundred_r2
1137,192,220,-1,karyn,Wed Apr 29 2015 18:54:51 GMT-0400 (EDT),ICL_third_set_hundred_r2
1138,146,156,-1,karyn,Wed Apr 29 2015 18:54:53 GMT-0400 (EDT),ICL_third_set_hundred_r2
1139,149,177,1,karyn,Wed Apr 29 2015 18:54:56 GMT-0400 (EDT),ICL_third_set_hundred_r2
114,137,207,-1,karyn,Wed Apr 29 2015 10:22:41 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1140,135,172,-1,karyn,Wed Apr 29 2015 18:54:58 GMT-0400 (EDT),ICL_third_set_hundred_r2
1141,129,195,1,karyn,Wed Apr 29 2015 18:55:03 GMT-0400 (EDT),ICL_third_set_hundred_r2
1142,148,194,1,karyn,Wed Apr 29 2015 18:55:05 GMT-0400 (EDT),ICL_third_set_hundred_r2
1143,162,215,1,karyn,Wed Apr 29 2015 18:55:07 GMT-0400 (EDT),ICL_third_set_hundred_r2
1144,143,214,1,karyn,Wed Apr 29 2015 18:55:11 GMT-0400 (EDT),ICL_third_set_hundred_r2
1145,148,182,-1,karyn,Wed Apr 29 2015 18:55:12 GMT-0400 (EDT),ICL_third_set_hundred_r2
1146,160,197,1,karyn,Wed Apr 29 2015 18:55:16 GMT-0400 (EDT),ICL_third_set_hundred_r2
1147,125,199,-1,karyn,Wed Apr 29 2015 18:55:18 GMT-0400 (EDT),ICL_third_set_hundred_r2
1148,159,161,1,karyn,Wed Apr 29 2015 18:55:20 GMT-0400 (EDT),ICL_third_set_hundred_r2
1149,138,217,-1,karyn,Wed Apr 29 2015 18:55:22 GMT-0400 (EDT),ICL_third_set_hundred_r2
115,167,218,-1,karyn,Wed Apr 29 2015 10:22:44 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1150,130,185,1,karyn,Wed Apr 29 2015 18:55:30 GMT-0400 (EDT),ICL_third_set_hundred_r2
1151,166,202,-1,karyn,Wed Apr 29 2015 18:55:33 GMT-0400 (EDT),ICL_third_set_hundred_r2
1152,141,210,1,karyn,Wed Apr 29 2015 18:55:35 GMT-0400 (EDT),ICL_third_set_hundred_r2
1153,150,154,1,karyn,Wed Apr 29 2015 18:55:37 GMT-0400 (EDT),ICL_third_set_hundred_r2
1154,143,122,1,karyn,Wed Apr 29 2015 18:55:40 GMT-0400 (EDT),ICL_third_set_hundred_r2
1155,152,169,1,karyn,Wed Apr 29 2015 18:55:42 GMT-0400 (EDT),ICL_third_set_hundred_r2
1156,176,215,-1,karyn,Wed Apr 29 2015 18:55:44 GMT-0400 (EDT),ICL_third_set_hundred_r2
1157,175,187,-1,karyn,Wed Apr 29 2015 18:55:46 GMT-0400 (EDT),ICL_third_set_hundred_r2
1158,171,158,-1,karyn,Wed Apr 29 2015 18:55:48 GMT-0400 (EDT),ICL_third_set_hundred_r2
1159,166,142,-1,karyn,Wed Apr 29 2015 18:55:49 GMT-0400 (EDT),ICL_third_set_hundred_r2
116,139,186,-1,karyn,Wed Apr 29 2015 10:22:46 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1160,130,137,1,karyn,Wed Apr 29 2015 18:55:52 GMT-0400 (EDT),ICL_third_set_hundred_r2
1161,207,159,1,karyn,Wed Apr 29 2015 18:56:17 GMT-0400 (EDT),ICL_third_set_hundred_r2
1162,136,193,-1,karyn,Wed Apr 29 2015 18:56:19 GMT-0400 (EDT),ICL_third_set_hundred_r2
1163,172,187,-1,karyn,Wed Apr 29 2015 18:56:21 GMT-0400 (EDT),ICL_third_set_hundred_r2
1164,133,220,-1,karyn,Wed Apr 29 2015 18:56:24 GMT-0400 (EDT),ICL_third_set_hundred_r2
1165,153,219,1,karyn,Wed Apr 29 2015 18:56:26 GMT-0400 (EDT),ICL_third_set_hundred_r2
1166,131,207,-1,karyn,Wed Apr 29 2015 18:56:29 GMT-0400 (EDT),ICL_third_set_hundred_r2
1167,144,126,-1,karyn,Wed Apr 29 2015 18:56:31 GMT-0400 (EDT),ICL_third_set_hundred_r2
1168,121,168,-1,karyn,Wed Apr 29 2015 18:56:42 GMT-0400 (EDT),ICL_third_set_hundred_r2
1169,177,187,-1,karyn,Wed Apr 29 2015 18:56:45 GMT-0400 (EDT),ICL_third_set_hundred_r2
117,201,207,-1,karyn,Wed Apr 29 2015 10:22:48 GMT-0400 (Eastern Standard Time),ICL_third_set_hundred_r2
1170,187,195,1,karyn,Wed Apr 29 2015 18:56:48 GMT-0400 (EDT),ICL_third_set_hundred_r2
1171,179,214,-1,karyn,Wed Apr 29 2015 18:56:57 GMT-0400 (EDT),ICL_third_set_hundred_r2
1172,167,196,1,karyn,Wed Apr 29 2015 18:56:59 GMT-0400 (EDT),ICL_third_set_hundred_r2
1173,136,151,1,karyn,Wed Apr 29 2015 18:57:01 GMT-0400 (EDT),ICL_third_set_hundred_r2
1174,165,209,1,karyn,Wed Apr 29 2015 18:57:03 GMT-0400 (EDT),ICL_third_set_hundred_r2
1175,127,196,1,karyn,Wed Apr 29 2015 18:57:04 GMT-0400 (EDT),ICL_third_set_hundred_r2
1176,128,133,-1,karyn,Wed Apr 29 2015 18:57:06 GMT-0400 (EDT),ICL_third_set_hundred_r2
1177,167,208,1,karyn,Wed Apr 29 2015 18:57:08 GMT-0400 (EDT),ICL_third_set_hundred_r2
1178,202,146,-1,karyn,Wed Apr 29 2015 18:57:10 GMT-0400 (EDT),ICL_third_set_hundred_r2
1179,136,146,1,karyn,Wed Apr 29 2015 18:57:11 GMT-0400 (EDT),ICL_third_set_hundred_r2
